,action_p,action_r,action_y,action_z,al_pitch,al_roll,al_yaw,angular_x,angular_y,angular_z,linear_acc_bodyx,linear_acc_bodyy,linear_acc_bodyz,pidz_out,pidzv_out,pos_x,pos_y,pos_z,time,velocity_x,velocity_y,velocity_z
51,0.05,0.0,0,1.0,0.04499544819972177,0.0047230543384417,0.002933030786704713,0.217779278755188,0.018178572878241536,-0.0226594340056181,0.3738236427307129,-1.2602604627609237,12.021380424499512,0.5401303200097963,-0.02668024682998657,0.002042572246864308,0.002933030786704713,1.0228968858718872,1.1431021690368652,0.02078928425908088,-0.02559931389987469,-0.013930305838584898
52,0.05,0.0,0,1.0,0.045016959165105466,0.004362372661881535,0.003600242810813331,0.17930147051811218,0.0009750456083566099,0.12109433859586716,0.18329840898513794,-2.372992515563964,8.772375106811523,0.5395353489284739,-0.026854696750640866,0.0030622247140853296,0.003600242810813331,1.022491693496704,1.164903163909912,0.01988999173045158,-0.03371372818946839,-0.017076501622796055
53,0.05,0.0,0,1.0,0.04528141827885327,0.003038436329156015,0.003682311137821596,-0.12808586657047272,-0.05430196225643157,0.07931443303823471,-0.6909201145172119,-2.7050890922546373,11.398294448852539,0.5425958389556632,-0.026417913436889644,0.003931044600903858,0.003682311137821596,1.0220487117767334,1.1863322257995605,0.019563229754567143,-0.033408131450414665,-0.02133027464151382
54,0.05,0.0,0,1.0,0.04528141827885327,0.003038436329156015,0.003682311137821596,-0.12808586657047272,-0.05430196225643157,0.07931443303823471,-1.0139769315719604,-0.5341641902923571,10.525704383850098,0.5459796384635911,-0.026051789760589594,0.003931044600903858,0.003682311137821596,1.0220487117767334,1.207496166229248,0.019563229754567143,-0.033408131450414665,-0.02133027464151382
55,0.05,0.0,0,1.0,0.04608536248291193,0.0018869418006645722,0.0038656239906378126,-0.3980659246444702,0.03133659809827804,-0.0324908308684826,-1.2527419328689575,1.6459859609603893,9.229924201965332,0.5450927968753264,-0.026272879123687736,0.004815276712179054,0.0038656239906378126,1.0216314792633057,1.228626012802124,0.02029217034578323,-0.0348646603524685,-0.02154719084501266
56,0.05,0.0,0,1.0,0.04608536248291193,0.0018869418006645722,0.0038656239906378126,-0.3980659246444702,0.03133659809827804,-0.0324908308684826,-0.024284012615680695,2.3728559017181405,8.163321495056152,0.5456927101762936,-0.025817002773284903,0.004815276712179054,0.0038656239906378126,1.0216314792633057,1.249413013458252,0.02029217034578323,-0.0348646603524685,-0.02154719084501266
57,0.05,0.0,0,1.0,0.046681005295260126,0.0030688431269659407,0.004789337245151097,0.19336643815040588,0.053960878401994705,0.001423534238710993,0.07277832180261612,0.7107120752334606,9.063569068908691,0.5454064721636699,-0.026028698444366446,0.005757196340709795,0.004789337245151097,1.0211670398712158,1.2703361511230469,0.020328544080257412,-0.032719694077968604,-0.018760204315185543
58,0.05,0.0,0,1.0,0.04671904522108753,0.003942835851227679,0.005304172426374202,0.3159473240375519,-0.03183513879776,0.0642448365688324,0.12848660349845886,-1.174325108528136,9.331554412841797,0.5435024262873814,-0.025509595394134513,0.006603285204619038,0.005304172426374202,1.0208237171173096,1.2911829948425293,0.02289545908570289,-0.0316617675125599,-0.013014670461416241
59,0.05,0.0,0,1.0,0.04671904522108753,0.003942835851227679,0.005304172426374202,0.3159473240375519,-0.03183513879776,0.0642448365688324,-0.10216931998729706,-1.385756731033324,9.52035903930664,0.5391343185150549,-0.025285902500152578,0.006603285204619038,0.005304172426374202,1.0208237171173096,1.312636137008667,0.02289545908570289,-0.0316617675125599,-0.013014670461416241
60,0.05,0.0,0,1.0,0.04785831140936179,0.004217346870500855,0.006064084469458103,0.11042094975709915,-0.01568645983934402,0.017674449831247333,-0.8203980922698975,-1.7869644165039047,12.051655769348145,0.539789297690098,-0.02547219419479369,0.007505153771489728,0.006064084469458103,1.0205817222595215,1.3335041999816895,0.02092364430427551,-0.027511350810527805,-0.015132965520024298
61,0.05,0.0,0,1.0,0.04881452657632615,0.003816202668629222,0.006424345892967513,-0.09022998064756393,0.052987981587648385,-0.02846332639455796,-1.1151139736175537,-1.293446540832518,12.125810623168945,0.541803090351586,-0.025239927768707267,0.00843086279928671,0.006424345892967513,1.0203837156295776,1.3544280529022217,0.025014717131853097,-0.03137486800551415,-0.011334227398037907
62,0.05,0.0,0,1.0,0.04881452657632615,0.003816202668629222,0.006424345892967513,-0.09022998064756393,0.052987981587648385,-0.02846332639455796,-1.0950474739074707,-0.1740201264619815,9.967339515686035,0.5382927998193189,-0.025136652469635003,0.00843086279928671,0.006424345892967513,1.0203837156295776,1.3753540515899658,0.025014717131853097,-0.03137486800551415,-0.011334227398037907
